Sample Name	Protocol REF	Parameter Value[Solid Or Aqueous Sample?]	Parameter Value[Sample Preservation Method]	Parameter Value[Sample Digestion Method]	Parameter Value[Acid 1 Used For Acidification]	Parameter Value[Solution Final Volume]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[AAS Modality]	Parameter Value[Instrument Make]	Parameter Value[Instrument Model]	Parameter Value[Radiation Source]	Protocol REF	Protocol REF	Parameter Value[Aluminum]	Unit	Term Source REF	Term Accession Number	Parameter Value[Boron]	Unit	Term Source REF	Term Accession Number	Parameter Value[Calcium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Cobalt]	Unit	Term Source REF	Term Accession Number	Parameter Value[Copper]	Unit	Term Source REF	Term Accession Number	Parameter Value[Iron]	Unit	Term Source REF	Term Accession Number	Parameter Value[Potassium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Magnesium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Manganese]	Unit	Term Source REF	Term Accession Number	Parameter Value[Molybdenum]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sodium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Nickel]	Unit	Term Source REF	Term Accession Number
Terrestrial_Apollo14_Seedlings_BoleraceaCapitata	Sample Preparation 1	solid (ash dissolved for AAS)	Low-temperature ashing (≤150 °C) in O2 RF field for 3–5 days	Ash dissolution	HCl	100	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Assay Procedure 1	Flame AAS	Perkin-Elmer	Atomic Absorption Spectrophotometer (1970s)	element-specific hollow cathode lamps (Perkin-Elmer methods)	Flame Atomic Absorption Spectroscopy	Graphite Furnace Atomic Absorption Spectroscopy	200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	60	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	3	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	3	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	500	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	70	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Detected	OSD	https://osdr.nasa.gov/	1100	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	6	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169
Untreated_Apollo14_Seedlings_BoleraceaCapitata	Sample Preparation 1	solid (ash dissolved for AAS)	Low-temperature ashing (≤150 °C) in O2 RF field for 3–5 days	Ash dissolution	HCl	100	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Assay Procedure 1	Flame AAS	Perkin-Elmer	Atomic Absorption Spectrophotometer (1970s)	element-specific hollow cathode lamps (Perkin-Elmer methods)	Flame Atomic Absorption Spectroscopy	Graphite Furnace Atomic Absorption Spectroscopy	10	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	60	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	3	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	3	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	30	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	500	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	70	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Detected	OSD	https://osdr.nasa.gov/	1100	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	6	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169
LunarA_Apollo14_Seedlings_Dcarota	Sample Preparation 1	solid (ash dissolved for AAS)	Low-temperature ashing (≤150 °C) in O2 RF field for 3–5 days	Ash dissolution	HCl	100	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Assay Procedure 1	Flame AAS	Perkin-Elmer	Atomic Absorption Spectrophotometer (1970s)	element-specific hollow cathode lamps (Perkin-Elmer methods)	Flame Atomic Absorption Spectroscopy	Graphite Furnace Atomic Absorption Spectroscopy	40	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1600	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	5	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	70	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	3200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	800	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	15	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	0.6	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1100	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	5	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169
LunarB_Apollo14_Seedlings_Dcarota	Sample Preparation 1	solid (ash dissolved for AAS)	Low-temperature ashing (≤150 °C) in O2 RF field for 3–5 days	Ash dissolution	HCl	100	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Assay Procedure 1	Flame AAS	Perkin-Elmer	Atomic Absorption Spectrophotometer (1970s)	element-specific hollow cathode lamps (Perkin-Elmer methods)	Flame Atomic Absorption Spectroscopy	Graphite Furnace Atomic Absorption Spectroscopy	200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1600	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	5	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	3200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	800	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	15	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	0.6	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1100	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	5	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169
Terrestrial_Apollo14_Seedlings_Dcarota	Sample Preparation 1	solid (ash dissolved for AAS)	Low-temperature ashing (≤150 °C) in O2 RF field for 3–5 days	Ash dissolution	HCl	100	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Assay Procedure 1	Flame AAS	Perkin-Elmer	Atomic Absorption Spectrophotometer (1970s)	element-specific hollow cathode lamps (Perkin-Elmer methods)	Flame Atomic Absorption Spectroscopy	Graphite Furnace Atomic Absorption Spectroscopy	100	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1600	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	5	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	3200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	800	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	15	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	0.6	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1100	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	5	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169
Untreated_Apollo14_Seedlings_Dcarota	Sample Preparation 1	solid (ash dissolved for AAS)	Low-temperature ashing (≤150 °C) in O2 RF field for 3–5 days	Ash dissolution	HCl	100	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Assay Procedure 1	Flame AAS	Perkin-Elmer	Atomic Absorption Spectrophotometer (1970s)	element-specific hollow cathode lamps (Perkin-Elmer methods)	Flame Atomic Absorption Spectroscopy	Graphite Furnace Atomic Absorption Spectroscopy	70	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1600	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	5	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	40	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	3200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	800	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	15	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	0.6	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1100	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	5	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169
LunarA_Apollo14_Seedlings_Lsativa	Sample Preparation 1	solid (ash dissolved for AAS)	Low-temperature ashing (≤150 °C) in O2 RF field for 3–5 days	Ash dissolution	HCl	100	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Assay Procedure 1	Flame AAS	Perkin-Elmer	Atomic Absorption Spectrophotometer (1970s)	element-specific hollow cathode lamps (Perkin-Elmer methods)	Flame Atomic Absorption Spectroscopy	Graphite Furnace Atomic Absorption Spectroscopy	70	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	70	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Available	OSD	https://osdr.nasa.gov/	1	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	2	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	100	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Available	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.3	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Available	OSD	https://osdr.nasa.gov/	2	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169
LunarB_Apollo14_Seedlings_Lsativa	Sample Preparation 1	solid (ash dissolved for AAS)	Low-temperature ashing (≤150 °C) in O2 RF field for 3–5 days	Ash dissolution	HCl	100	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Assay Procedure 1	Flame AAS	Perkin-Elmer	Atomic Absorption Spectrophotometer (1970s)	element-specific hollow cathode lamps (Perkin-Elmer methods)	Flame Atomic Absorption Spectroscopy	Graphite Furnace Atomic Absorption Spectroscopy	30	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	70	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Available	OSD	https://osdr.nasa.gov/	1	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	2	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	100	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Available	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.3	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Available	OSD	https://osdr.nasa.gov/	2	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169
Terrestrial_Apollo14_Seedlings_Lsativa	Sample Preparation 1	solid (ash dissolved for AAS)	Low-temperature ashing (≤150 °C) in O2 RF field for 3–5 days	Ash dissolution	HCl	100	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Assay Procedure 1	Flame AAS	Perkin-Elmer	Atomic Absorption Spectrophotometer (1970s)	element-specific hollow cathode lamps (Perkin-Elmer methods)	Flame Atomic Absorption Spectroscopy	Graphite Furnace Atomic Absorption Spectroscopy	50	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	70	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Available	OSD	https://osdr.nasa.gov/	1	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	2	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	20	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Available	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.3	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Available	OSD	https://osdr.nasa.gov/	2	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169
Untreated_Apollo14_Seedlings_Lsativa	Sample Preparation 1	solid (ash dissolved for AAS)	Low-temperature ashing (≤150 °C) in O2 RF field for 3–5 days	Ash dissolution	HCl	100	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Assay Procedure 1	Flame AAS	Perkin-Elmer	Atomic Absorption Spectrophotometer (1970s)	element-specific hollow cathode lamps (Perkin-Elmer methods)	Flame Atomic Absorption Spectroscopy	Graphite Furnace Atomic Absorption Spectroscopy	20	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	70	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Available	OSD	https://osdr.nasa.gov/	1	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	2	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Available	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.3	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169		Not Available	OSD	https://osdr.nasa.gov/	2	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169
