"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography]"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[dissociation]"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Derived Spectral Data File"
"cosmonaut 7 after spaceflight"	"extraction"	"cosmonaut 7 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 8 before spaceflight"	"extraction"	"cosmonaut 8 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 8 after spaceflight"	"extraction"	"cosmonaut 8 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 9 before spaceflight"	"extraction"	"cosmonaut 9 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 9 after spaceflight"	"extraction"	"cosmonaut 9 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 10 before spaceflight"	"extraction"	"cosmonaut 10 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 10 after spaceflight"	"extraction"	"cosmonaut 10 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 11 before spaceflight"	"extraction"	"cosmonaut 11 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 11 after spaceflight"	"extraction"	"cosmonaut 11 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 12 before spaceflight"	"extraction"	"cosmonaut 12 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 12 after spaceflight"	"extraction"	"cosmonaut 12 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 13 before spaceflight"	"extraction"	"cosmonaut 13 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 13 after spaceflight"	"extraction"	"cosmonaut 13 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 1 before bed rest"	"extraction"	"Subject 1 before bed rest"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 1 after bed rest"	"extraction"	"Subject 1 after bed rest"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 2 before bed rest"	"extraction"	"Subject 2 before bed rest"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 2 after bed rest"	"extraction"	"Subject 2 after bed rest"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 3 before bed rest"	"extraction"	"Subject 3 before bed rest"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 3 after bed rest"	"extraction"	"Subject 3 after bed rest"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 4 before bed rest"	"extraction"	"Subject 4 before bed rest"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 4 after bed rest"	"extraction"	"Subject 4 after bed rest"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 5 before bed rest"	"extraction"	"Subject 5 before bed rest"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 5 after bed rest"	"extraction"	"Subject 5 after bed rest"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 6 before dry immersion"	"extraction"	"Subject 6 before dry immersion"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived2.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 6 after dry immersion"	"extraction"	"Subject 6 after dry immersion"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived2.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 7 before dry immersion"	"extraction"	"Subject 7 before dry immersion"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived2.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 7 after dry immersion"	"extraction"	"Subject 7 after dry immersion"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived2.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 8 before dry immersion"	"extraction"	"Subject 8 before dry immersion"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived2.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 8 after dry immersion"	"extraction"	"Subject 8 after dry immersion"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived2.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 9 before dry immersion"	"extraction"	"Subject 9 before dry immersion"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived2.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 9 after dry immersion"	"extraction"	"Subject 9 after dry immersion"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived2.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 10 before dry immersion"	"extraction"	"Subject 10 before dry immersion"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived2.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"Subject 10 after dry immersion"	"extraction"	"Subject 10 after dry immersion"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived2.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
